"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/ParagonTwinblast/Characters/Global/Hair/Materials/M_HairSheet_Master2.M_HairSheet_Master2","0","525","30","3","376.377136","525","14607"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Materials/M_TwinBlast_Pistol.M_TwinBlast_Pistol","0","101","1","1","106.664505","202","2383"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Materials/M_TwinBlast_LowerBody.M_TwinBlast_LowerBody","0","101","7","1","104.623863","202","2261"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Materials/M_TwinBlast_Head_Shirt.M_TwinBlast_Head_Shirt","0","152","12","1","179.369507","304","4850"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Materials/M_TwinBlast_Coat.M_TwinBlast_Coat","0","167","1","1","206.776672","334","6022"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Materials/M_TwinBlast_Arms.M_TwinBlast_Arms","0","101","3","1","67.576691","101","1503"
"/Game/ParagonTwinblast/Characters/Global/Eyes/Materials/M_Eye_Occlusion.M_Eye_Occlusion","0","75","4","1","54.282822","75","1153"
"/Game/ParagonTwinblast/Characters/Global/Eyes/Materials/M_EyeRefractive.M_EyeRefractive","0","165","5","1","144.092880","165","3753"
"/Game/ParagonTwinblast/Characters/Global/Eyes/Materials/M_TwinBlast_EyeBlend.M_TwinBlast_EyeBlend","0","111","6","1","32.221588","0","863"
"/Game/ParagonTwinblast/Characters/Global/Eyes/Materials/M_TearLine.M_TearLine","0","193","10","1","465.660858","193","4767"
"/Game/ParagonTwinblast/Characters/Global/Mouth/Materials/M_Mouth_Master.M_Mouth_Master","0","105","12","1","72.103226","105","1554"
"/Game/ParagonTwinblast/Characters/Global/Eyelash/M_EyelashMaster.M_EyelashMaster","0","107","5","1","89.627594","107","1545"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/ThirdPersonBP_migrated/Blueprints/healthpickupM.healthpickupM","0","12","12","1","4.150964","0","12"
"/Game/ThirdPersonBP_migrated/Blueprints/grass_m.grass_m","0","21","21","1","19.873363","46","216"
"/Game/MAEOakForest/Materials/Environments/M_Nature.M_Nature","0","200","21","2","66.118408","0","1513"
"/Game/MAEOakForest/Materials/Environments/M_Vegetations.M_Vegetations","0","564","47","6","222.619125","0","3884"
"/Game/MAEOakForest/Materials/Environments/M_Nature_Tile.M_Nature_Tile","0","222","30","2","66.452728","0","1774"
"/Game/MAEOakForest/Materials/Impostor/MA_Impostor.MA_Impostor","0","188","8","2","120.999413","188","3676"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Skins/Tier2/ShadowOps/Materials/M_TBSO_Weapons.M_TBSO_Weapons","0","114","10","1","123.998001","228","2880"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Skins/Tier2/ShadowOps/Materials/M_TBSO_TorsoInner.M_TBSO_TorsoInner","0","114","10","1","72.711662","114","1838"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Skins/Tier2/ShadowOps/Materials/M_TBSO_TorsoHead.M_TBSO_TorsoHead","0","114","13","1","136.405838","228","2893"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Skins/Tier2/ShadowOps/Materials/M_TBSO_Pants.M_TBSO_Pants","0","105","12","1","85.784348","105","1454"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Skins/Tier2/ShadowOps/Materials/M_TBSO_Lens.M_TBSO_Lens","0","111","1","1","32.943336","0","833"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Skins/Tier2/ShadowOps/Materials/M_TBSO_Grenade.M_TBSO_Grenade","0","114","5","1","122.994522","228","2875"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Skins/Tier2/ShadowOps/Materials/M_TBSO_Boots.M_TBSO_Boots","0","114","13","1","83.970894","114","1919"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Skins/Tier2/ShadowOps/Materials/M_TBSO_Arms.M_TBSO_Arms","0","114","5","1","139.671768","228","2945"
"/Game/ParagonTwinblast/Characters/Heroes/TwinBlast/Skins/Tier2/ShadowOps/Materials/M_TBSO_Acc.M_TBSO_Acc","0","114","13","1","120.358749","228","2814"
"/Game/ThirdPerson/Meshes/RampMaterial.RampMaterial","0","0","21","1","0.000000","0","0"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","0","156","2","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
